dftb_energy,dftb_title,orca_title,orca_energy
-15.61547667,1825,1825,-1314.084064
-15.61552173,1601,1601,-1314.084111
-15.62468809,808,808,-1314.090991
-15.64098473,979,979,-1314.102615
-15.64109898,76,76,-1314.102738
-15.64173987,1793,1793,-1314.103561
-15.64884019,1178,1178,-1314.108251
-15.64966896,1226,1226,-1314.109308
-15.65722767,499,499,-1314.11473
-15.65794452,421,421,-1314.11562
-15.6631516,560,560,-1314.118241
-15.66443898,1355,1355,-1314.119851
-15.66534006,745,745,-1314.120971
-15.66989319,394,394,-1314.122901
-15.68019603,872,872,-1314.132151
-15.68258585,1350,1350,-1314.131605
-15.68418266,1150,1150,-1314.133604
-15.68423104,1470,1470,-1314.13368
-15.68549111,1295,1295,-1314.135264
-15.68638063,636,636,-1314.13638
-15.68842143,1599,1599,-1314.135456
-15.69022338,305,305,-1314.137768
-15.69158425,1397,1397,-1314.139466
-15.6932844,1699,1699,-1314.14162
-15.69328669,1296,1296,-1314.141633
-15.69361897,1409,1409,-1314.142045
-15.69362146,713,713,-1314.14205
-15.69411324,22,22,-1314.139279
-15.69595162,684,684,-1314.14163
-15.69743191,1863,1863,-1314.143514
-15.6985689,794,794,-1314.144933
-15.69936856,1977,1977,-1314.145953
-15.69952802,735,735,-1314.142812
-15.69983958,1091,1091,-1314.146556
-15.70423626,1337,1337,-1314.148875
-15.70426426,1701,1701,-1314.148871
-15.70473003,1335,1335,-1314.146153
-15.70476994,1422,1422,-1314.146138
-15.70514391,409,409,-1314.150037
-15.70574289,108,108,-1314.150802
-15.70576253,360,360,-1314.150806
-15.7060442,1892,1892,-1314.151182
-15.70676607,1457,1457,-1314.148743
-15.70965483,1494,1494,-1314.152577
-15.70973734,1013,1013,-1314.149315
-15.71070822,1499,1499,-1314.153896
-15.71181676,645,645,-1314.155353
-15.71346362,647,647,-1314.154249
-15.71673344,1232,1232,-1314.15856
-15.71678908,581,581,-1314.158586
-15.71730289,5,5,-1314.159275
-15.71753619,889,889,-1314.159605
-15.71754949,211,211,-1314.159612
-15.71837831,820,820,-1314.157437
-15.7185059,943,943,-1314.157505
-15.71923626,104,104,-1314.155135
-15.7209667,1891,1891,-1314.160919
-15.72107268,316,316,-1314.160976
-15.72285242,1396,1396,-1314.163437
-15.72288137,1757,1757,-1314.163452
-15.72395533,279,279,-1314.157941
-15.72593046,420,420,-1314.164221
-15.72673768,1315,1315,-1314.165437
-15.72743825,748,748,-1314.166398
-15.72752776,637,637,-1314.16645
-15.72766635,1561,1561,-1314.163291
-15.72787278,1975,1975,-1314.163428
-15.72815187,705,705,-1314.167358
-15.72816767,890,890,-1314.167367
-15.72917776,947,947,-1314.165417
-15.73051524,258,258,-1314.163549
-15.73243118,134,134,-1314.162738
-15.73280711,55,55,-1314.170466
-15.73318233,920,920,-1314.171037
-15.733603,874,874,-1314.168185
-15.73487546,237,237,-1314.170031
-15.73590899,1861,1861,-1314.171534
-15.73634823,1666,1666,-1314.16851
-15.73663629,1193,1193,-1314.168724
-15.73672106,526,526,-1314.172717
-15.7368737,151,151,-1314.172816
-15.73732472,444,444,-1314.173594
-15.73788149,1917,1917,-1314.170797
-15.73794449,1717,1717,-1314.174476
-15.73796628,1092,1092,-1314.174489
-15.73903219,1474,1474,-1314.16842
-15.74022488,981,981,-1314.174317
-15.74083001,472,472,-1314.171157
-15.7410715,772,772,-1314.175596
-15.74202949,1848,1848,-1314.17326
-15.74228645,730,730,-1314.177341
-15.74247038,1196,1196,-1314.177697
-15.74252334,1202,1202,-1314.177731
-15.74258469,1387,1387,-1314.177849
-15.74331667,1964,1964,-1314.175263
-15.74361493,122,122,-1314.175482
-15.74438442,507,507,-1314.176936
-15.74454026,51,51,-1314.173161
-15.74465388,976,976,-1314.169158
-15.74525227,1743,1743,-1314.178303
